"","G1_1","G2_2","G1_3","G2_4","G1_5","G2_1","G1_2","G2_3","G1_4","G2_5"
"P01246",1463018.18562191,28478.9800856116,53748.0449648631,1890241.02955913,22863.7948734166,168817.674717091,26167.3495616796,1727612.77398894,30653.9287985082,43434.2703028697
"P01247",145110.747059202,2159.07507256826,3872218.22638802,76257491.7275345,69373.7876035288,6543555.10736591,19272.8794973034,495524228.652668,1482.13462970383,2198.51311805047
"P01248",1137762.84850955,110169.868827661,48938.4645719197,697260.558805328,20954.7748516167,33327.5377001958,27265.6135552062,239010.442645512,27451.4794038726,26525.9741803073
"P01249",3854458.74130422,164386.680744108,12305.0587808175,374373.634882485,15506.6606950951,24867.866021877,27896.3522006054,33240.9822604237,67606.7874157066,126983.967709743
"P01250",1680251.93279323,101320.548608884,19294.230659219,855998.102487164,17093.4920549172,78045.1161287754,27735.7848122535,236799.597052159,66855.9026484157,103624.938403634
"P01251",2147508.5284005,76381.2315380769,34521.8146361365,2623546.5033664,18315.9795718231,387295.874719295,27332.2623023454,335690.216602845,57294.5055303221,95321.4119203157
"P01252",4653814.99867629,723661.58805931,2878.20110833562,83191.1044450814,8798.6611704042,7073.47048952523,25342.6255665792,2227.5538766907,99626.0040143015,182195.14775566
"P01253",1145935.95558108,337648.685392616,31868.8085368827,144210.833797234,23337.7368561704,5929.28435945214,26938.6333822377,24533.0346355212,17273.588195476,26027.341412598
"P01254",1671967.66652656,222216.733007255,37302.5760547543,102820.344012075,21908.8277320437,9572.18714131488,27728.6275674674,20867.569425409,27770.3956977505,30694.2072798979
"P01255",4696191.15753752,644399.576906782,5657.41763543646,91058.0398211487,11646.1218012466,9043.33261849963,26455.9629186267,11115.1501159913,92424.4387988999,173725.411782392
"P01256",2586639.63872168,299655.117794029,25056.8464565624,512682.495910645,19500.1840085657,30331.4016007333,27213.544643484,176339.131668958,45543.524677672,50401.0520485547
"P01257",2002497.04483828,281042.318867264,39303.0622309156,168730.349272302,20819.3882664317,10306.4295564319,27416.1989313008,35121.4612796294,15103.5266994429,26770.068980766
"P01258",1462881.98967509,75684.6292090797,33670.999802851,1359626.26510926,20221.6186427593,123802.076499501,26583.4298579197,532097.694170731,41452.9002551006,45158.5695814318
"P01259",325987.225599837,4465.60701608848,152068.624889162,33830833.7105145,26409.0224678124,3295424.5118795,23172.6350639411,37497727.1721572,23689.2803722385,25941.0913370423
"P01260",1450139.89301648,113759.337448862,22570.7963754799,938551.878145965,19882.5134512214,46517.8259050943,26953.1119062001,165858.340655012,35365.3678993765,40672.8997280568
"P01261",4643328.12671027,860474.044150462,3665.10812966489,11160.4034857238,11779.0307960686,834.712036271636,24113.7421179288,563.683542052207,64128.4805230885,172687.434850851
"P01262",744861.074692917,102569.243913232,60339.8199967053,862869.754208611,23254.8436534886,87542.545565426,26604.3064090926,200721.683906023,25966.2337582253,25222.3272587712
"P01263",824098.776168674,39867.8455346677,63941.0033253396,1589816.37298702,23689.9525371919,75200.2924324007,25914.1572318444,462397.059105971,23992.9917754667,20526.6440192398
"P01264",4494428.04969463,368105.970778046,5296.38889233101,328173.554147039,13621.7956949501,34471.7002717591,27656.6169997327,33341.6402552585,91929.7625761671,170474.771305847
"P01265",3811943.7327307,859335.908753154,1843.62647288374,24050.9020328185,7356.19386142127,1935.67887307879,17861.2401744651,557.837996955061,99400.821892835,175650.688940118
"P01266",573526.333206651,11013.6955011239,133010.02492209,3157943.22238763,30707.8411896528,257989.753492001,23298.1637096285,4057743.71136505,14104.473155013,10877.3545670444
"P01267",145087.803276334,2311.11371011407,4015856.17105757,72247670.6738255,60530.4020066374,5273617.82553146,19264.6567519365,414352827.396091,1603.36103398545,2207.92143487634
"P01268",1057036.05372374,115601.854859132,75152.7370583387,372074.823999345,20854.2624985986,35463.8940918898,26894.1707813536,126446.983422652,22721.4388513181,23584.9327197027
"P01269",1572148.91402598,248859.254356213,40091.8415959268,233865.64643094,20129.5203560285,24083.260502977,27470.9152299838,58917.430608288,21331.4769242026,31172.9248598363
"P01270",2077573.11764016,447178.663119975,43454.5812611384,173454.033427779,19096.7583781098,10461.8838966662,27649.700314552,21877.8130531421,15560.7517653784,34845.7771057101
"P01271",341598.031084492,15754.9902604371,254640.841478206,4959437.04926646,30321.2827589153,208701.297396251,23532.2746461515,1963095.83266808,8132.35898789345,6502.89116677332
"P01272",1660682.58595905,173529.431896778,29451.4628419505,659329.016341023,18834.8867250402,48379.124239343,27600.5401054989,88735.0499390911,47142.1079733893,44855.6624684997
"P01273",393333.988039492,18818.7196411999,205963.196704816,1617759.60165617,30752.9952794141,91695.1623341866,24595.4688188214,1190160.03685935,9670.70067950438,5231.04221669804
"P01274",3149124.30001877,520910.212709821,19494.3994631087,112658.809799101,15939.1837077107,8301.57209858127,27931.9130616845,9450.40774725863,47550.6696570942,80847.183786042
"P01275",427593.591992698,5985.78588351116,223709.038336064,4234475.74687811,27425.0160975734,336310.490523222,23404.3283585882,8756765.26679341,6967.89577501771,9185.14290584297
"P01276",869141.456880454,114209.543181328,74529.8822595598,375118.928993045,20943.4600552039,16362.2665457803,26348.4733000455,150478.981316817,14005.2059599799,21478.792891806
"P01277",2432630.61112831,314535.127281645,23140.4167452887,274452.700821743,18364.6532558426,25817.0966026701,27804.8644091824,103150.506104245,33134.556396184,80736.1412985363
"P01278",2323869.28067113,4060.79325758639,33902.1350183434,17512300.2738044,19815.0208731414,1703942.67224032,27741.8124100101,122972253.419346,44275.0294050271,3022.1340243303
"P01279",550233.006629468,15621.0986554485,153693.529701537,3468507.03515031,24653.6924858056,110607.321239521,25574.4206403691,1177960.26876119,13921.9378227582,20848.0260871779
"P01280",4141797.08051547,928640.397015118,1899.09339605352,96728.1965517401,9478.28885736892,6581.83493266429,22450.6248712249,3881.21621143575,97310.8163688017,179714.470375143
"P01281",4638059.20058513,932701.173823237,6352.11458511243,22039.1923875571,12740.4088516794,1438.57692351731,24859.6003245305,972.427335414166,61284.3899792307,148228.057940469
"P01282",425013.796543722,39680.0694503742,133950.776662686,2103096.09066911,22751.0289422075,125968.842212623,24717.0360362918,864357.936781889,15038.183872655,16359.5663372577
"P01283",2420065.55425192,122099.620676024,14218.3479016643,353053.204458359,18549.084462661,28016.8937322056,27541.5520807294,76011.8014068469,46851.6734131992,69192.2988937014
"P01284",502528.098172163,87486.9166433197,191878.75157908,318493.152406004,31521.5893591137,29225.8548496228,23764.9527593976,852118.849363466,5525.00407724363,9556.85384203358
"P01285",790671.141703661,20904.1533768271,123018.460458328,2344668.10236817,24587.53598669,57132.3569170822,26135.7058706277,1991740.2330041,13409.4182974729,16900.1292697471
"P01286",342023.725570749,8866.41452693766,193368.320692181,1989963.64653247,26673.6326266793,235017.55832665,23933.7908840883,5769331.84316215,8974.96007277959,9321.72924155205
"P01287",1720445.67083618,94117.9192173683,19962.0580179974,837829.884178566,20886.8041176934,67695.1470342641,27081.0673414005,171664.712115727,38757.161311644,42829.6630381281
"P01288",4584276.10900084,876428.053836823,7108.305006536,8553.47607276573,11562.7115914454,687.110121230401,25487.4451002689,645.717069867809,54694.1675748533,135587.443941367
"P01289",278242.176515171,10985.9436086188,369687.400009074,7084225.9822187,30833.8689135177,525767.245245776,22229.015191467,10723641.9018486,6586.2825827923,5369.82545543139
"P01290",641033.822617108,23088.7611399479,131029.711728939,2911831.1975871,31332.0537118429,149098.570751485,25130.7995919364,5990568.63025983,12085.0764377748,12501.4507448514
"P01291",1702651.58386081,325874.838219668,58530.4320433729,101461.97634436,20335.4513411263,4658.35034976106,27707.227005542,24776.038218001,15359.0712952106,20498.3225464659
"P01292",3778080.31584112,376585.508336255,9127.24690471179,172388.308996519,16354.3958466213,16153.5680031465,27331.4660767502,12427.5096275794,72139.8313097116,111838.745620697
"P01293",273114.122022954,7687.04494015864,399362.329280808,3508511.03453231,28958.0577067665,251762.819888567,22170.1078752149,9353753.87426757,8422.25972457793,9031.50667351051
"P01294",183687.608069996,4001.40578486479,1001264.99202462,22541961.817395,38975.089995965,1739021.92402366,20139.7469087511,105545034.588607,3527.6147403207,3196.31292684667
"P01295",4373406.75815149,919491.139629162,3073.76793043202,67171.1951050075,8610.57144796553,4335.67089046328,24174.9870067413,1289.4672522511,99663.8907825798,181562.696271509
"P01296",221858.114426023,52032.0921185339,349876.492517379,660406.494511019,32093.8682528666,22401.3170825787,21935.9207168149,489415.284869582,4907.39044225727,44273.3207988421
"P01297",4218681.06890223,667846.25290873,5491.40537154648,116176.192710003,11688.1462841672,9239.32307674399,26734.7522106561,4514.29416579149,83860.7046184143,164890.553918436
"P01298",4578443.88448915,932306.506544933,1977.46553490705,25535.6968974112,8664.00372939737,2546.03325672639,24877.7804638381,1287.13658716327,99626.0359202102,171156.541266468
"P01299",3878084.06119318,595428.855924587,10451.161142845,154264.412903232,16160.7907328541,15115.8610858665,27904.3627983315,14098.3015014678,51488.682837423,110698.034287614
"P01300",274467.703858294,16640.5873334977,623112.751129879,2764775.34065907,31760.7156436023,124844.6627495,22316.6944391601,4851999.50029207,3514.68315887761,3237.85131887791
"P01301",2200887.95972489,243626.151354278,20610.7401013856,337210.604303819,19335.8213920187,31450.2890875166,27702.442060158,131158.491411465,38104.7191733362,52052.7774767006
"P01302",1820126.26808504,201864.965873089,32605.2676651464,465078.981589751,21822.6125726971,33231.2030271618,27519.5008216347,80122.9190153053,40300.6390456767,62633.9899240442
"P01303",718562.803904503,41827.6102413588,159251.490507981,1524696.91238874,23692.6728913423,167228.930460603,25053.4055888062,953604.378624849,17920.1829202548,10258.5024766441
"P01304",4697709.3960501,737798.377849668,7499.14102969642,108894.983598507,11340.8330316125,9705.41860439776,26168.9192127776,4360.38333865504,90143.5949702623,175381.930048
"P01305",2666751.67913321,780195.967615148,23650.7906835569,28969.8659744789,19884.768236427,2076.74606988654,27929.5819782919,5102.56842085246,20149.5326425586,57785.4353368077
"P01306",157659.173582757,55700.5399048538,1991680.29001792,715324.36081957,47217.4990585834,79451.4771851464,19839.0229507785,719635.677047712,2272.60376310159,10201.2548110118
"P01307",486819.679240444,532158.878849363,110857.450653056,163371.927465598,24541.8366111052,11724.1127810959,25773.9026128813,34285.5217529486,15068.7738091204,101091.072522184
"P01308",1256094.0283929,73134.2950758296,59620.1916408699,521278.989231409,23440.2198121462,34331.3881426413,26109.7489607453,155961.829870961,16552.4027924187,21468.5197877664
"P01309",1156814.93976517,24178.682150031,42633.0661791282,6712000.7871644,21030.4129590418,829139.240451107,26024.6575794579,3839879.59824453,53665.0158563943,51423.5257716343
"P01310",2559703.1166518,124998.257295762,12408.2970188076,977691.818558304,15710.3669406983,108321.519289086,27861.8970754744,165136.937634161,75621.6992738543,105129.451327501
"P01311",4610462.12234249,735716.746609329,2909.91895056656,10193.7384419903,9091.86169230239,465.325731219047,21760.3107165654,510.241643903828,73059.8447163014,179953.458129282
"P01312",1462960.57172362,139511.761863721,33036.1471770081,546646.666384449,20235.129729048,46717.7401034307,27459.1938178468,118337.532717283,27811.7714105125,36144.1545514448
"P01313",4660546.14056566,931314.438197301,3598.41852822601,23554.0863317757,10753.9564236222,2016.27440901009,24114.5613020757,978.151964873285,93843.5749010336,176159.177209301
"P01314",4443043.85776002,930362.381335725,2352.0328479761,27088.9138098674,8022.75372136036,3295.00140286585,21787.9625493782,1318.11946881464,99643.9437758591,169337.533646205
"P01315",2482987.05771131,102667.163765911,23543.6200963684,1423457.47688065,20723.3082428965,87787.6617647403,27292.6477347974,163286.523508902,47804.661443605,81897.3405393646
"P01316",3508470.71559469,294555.379148447,11262.1557974998,179674.570208562,18383.2046158689,12273.0068542616,27845.9054599612,14771.6409823417,69952.6661092125,123085.781404009
"P01317",1600838.28692648,216793.961256766,41459.9965204889,308777.499013358,20377.429899068,14938.1957632838,27308.4838194624,81568.7514919168,21805.9323480318,39429.9224123301
"P01318",4389404.08507878,285661.435791028,5790.2264653281,478384.247432351,13655.7336570977,39180.4737212772,27888.5078068085,29408.0603148824,87663.104143671,169797.578340914
"P01319",288242.08436461,5767.10980318822,366282.749940084,9499393.1829134,31501.5522169831,679685.113514606,21895.9587592122,16078568.4812469,10033.414645264,6343.77787960358
"P01320",1502610.56605833,117195.53421348,41405.8279939421,382764.976040224,18930.6740282103,45225.8559718612,27037.2545039805,59756.6172950271,29326.6277575977,30001.854686022
"P01321",3871864.00131454,458543.564582791,5569.7563263885,286632.86557019,15485.4315702315,34632.1596416027,27752.6452232485,23433.1679860958,79859.4793648943,154183.13285558
"P01322",2172839.85951849,87332.1387582809,17249.9346131417,638053.075589513,19438.4434237548,45919.3581197669,27571.8665412069,188080.099305528,48179.285295503,77339.9585756484
"P01323",3433995.48061091,331441.885753259,7945.11651905917,354960.712828084,15439.698467816,38105.1509587227,27908.9813785559,42811.7519276171,79779.0273438467,145748.559086227
"P01324",4693676.127824,192912.325006137,3536.17615182421,219749.461122689,11781.4115882121,17332.8590795993,25180.006645187,36973.7166035978,86306.6258527688,51841.2245248195
"P01325",398679.287787172,17880.5454917707,341915.043128805,1846814.22484166,29893.0281051849,151596.007203594,24012.4872920659,2785305.22622132,6183.73928905301,5148.17707462955
"P01326",4244258.62946885,274160.591895096,11580.6740495304,327700.429884038,13879.2189645982,22415.9916543838,27576.4136620622,16717.143248203,70852.2394343765,143509.5019282
"P01327",310161.016488454,51153.5787221794,792243.287077888,1696173.77174751,36372.1626011422,69428.0560763886,21241.7682760067,496311.404803641,9184.5245836489,92067.2009259563
"P01328",3105520.88253874,395463.192411275,9998.59726173775,125712.508717898,16072.6484774066,10509.4285098315,27843.2601384363,22364.6051264817,48121.8696674595,92409.7467214486
"P01329",321301.692727824,10826.6569951862,218986.046850149,17105924.3434117,30991.5495719023,831976.502962943,23146.9716263422,9645879.65979075,8979.30853216049,7752.64915696466
"P01330",167414.00788694,2986.43323839067,1061109.09677097,23280886.0885165,41413.3267090416,2022703.14335064,20563.7168624162,88751070.874875,4128.60996577527,4053.19565381122
"P01331",3377150.26751848,305951.429143269,12248.9018688432,474641.067410989,15262.2665244676,36909.9448603125,27929.2421785956,34644.2748422948,78703.5147471789,144953.152783929
"P01332",4283474.01024259,652345.375713961,7139.72404403257,153800.792322667,14091.1956045142,10222.5314827541,27651.9623318244,5266.1798341685,77030.2362678147,166259.817334742
"P01333",4606613.57588403,861673.276759098,2950.72554624077,48000.8275185575,8927.84365378856,5010.91425310735,23452.73583909,2522.65248460925,98966.9934985334,186049.667198776
"P01334",1408900.36680988,157373.261140535,16440.4011700188,575717.596071006,17656.5007487811,27846.5160255975,27906.4670480781,80277.7754886871,44545.2327924655,92727.8715756693
"P01335",854230.586292126,80037.5315452853,72903.5901189786,379865.546805449,22623.9647492404,50874.2824879593,26751.5398178286,193912.162450476,15094.9865811667,27024.1190603399
"P01336",383013.249908275,48798.7754116441,236604.634874858,605541.08279735,28335.8818267601,22005.4417791004,25054.32391211,435255.777059199,7414.59537869041,4989.23452424195
"P01337",3176082.06878603,153857.075504307,9686.48561362688,308872.426629463,15759.3542110117,35616.5795457838,27928.1853642607,39008.3229451585,64098.1508640385,125661.133897225
"P01338",1585501.41732686,111230.0093276,28199.1087714183,878439.996273123,20327.4623026694,36078.5275897207,27298.3081688068,116279.849473111,40003.0308965448,44985.0910942569
"P01339",747608.714633909,68023.3007479072,102878.837171812,1380823.24296044,23457.8134691212,36664.80581476,25107.6439408363,649904.833197593,10882.8793020042,11418.4227671177
"P01340",2828763.12046604,902735.706139284,14030.8197972149,23902.9753983692,16833.3544508325,1654.77816374688,27923.0415576582,2079.56724823853,23128.5662489445,50874.2226753359
"P01341",821780.216816102,50764.6362488406,144933.972027212,858853.137189217,24829.1359960005,46001.4175051592,25198.9466636703,750449.736594658,12682.4717070218,15885.1114398716
"P01342",574797.896096413,6028.32199474675,222020.966322033,24714985.1170271,26767.5528277438,2657727.21931948,23521.8098630515,15407988.6209575,17128.5244969266,16140.4357875913
"P01343",4583109.96309605,892314.180270601,2478.94249101756,71820.0806211356,8491.6872346159,8581.13783928793,24335.3178070213,1856.7850451956,98103.4179097464,184981.145606393
"P01344",1599644.32618685,309625.064673491,27309.8181740933,143947.352724029,19058.7482473437,12641.1521386489,27313.8147869765,24484.2058147492,23620.2918958532,29299.1877323397
"P01345",4670983.22812424,932665.075863128,5403.36521066804,38206.5328361536,11521.0255704604,3343.71090609759,26175.7975660926,2208.59722283118,89504.6344010756,170088.945894668
"P01346",374800.739890689,38566.5562702658,193492.700726734,865545.27566564,28700.328657245,48958.7867519414,24486.0422906234,2418787.08554668,7008.43067541422,7383.53579616083
"P01347",2374974.99980403,523811.402634234,16433.565216803,92240.2507830963,18152.8144024945,7370.56765704952,27831.9792208174,3118.7173815499,33689.4578514494,76282.7557944137
"P01348",4189233.60014568,494073.200624391,4872.62600790399,102867.01626147,11828.4349997256,7798.23441689692,26382.2726595453,5183.91462845047,86225.375409722,167716.493634025
"P01349",2624601.79367354,56346.2685612854,17959.1735950366,2491394.03281573,17704.3317461063,82851.373531661,27765.2272261397,1394223.64422504,42362.207633749,11152.0570725062
"P01350",3617989.26554809,535509.620284221,7257.27033441898,135027.542580547,15552.9804346422,14407.2375671981,27708.6485973252,7275.0986519196,70040.523073454,123460.470159428
"P01351",431756.617249246,59255.8806081944,212371.502442385,429982.204860791,28753.5237569639,32349.7352353849,24811.8477074064,145892.909603617,6808.66634092438,7215.90423407282
"P01352",593636.142097251,16603.5746097442,163997.977496111,2225037.98566969,26047.8792796838,324991.954235359,23763.0314093023,3467292.12780569,15816.1798043996,13551.9475026464
"P01353",2442823.6720472,127135.817661413,25356.8040618753,302088.019882963,19255.9238597334,34021.8896904652,26912.1397851741,201097.9134057,42384.3948399345,80499.520320444
"P01354",2082176.88296667,110175.924771684,29757.9728362552,900535.449113464,19611.0922150509,73733.0835076824,26154.1694461343,179916.566307055,47920.1814357998,69359.7634443016
"P01355",240519.2801526,9779.48796520731,484148.194945017,6101547.36630335,32232.0792705206,260667.410656065,21871.5049748879,9695746.85576035,7213.14437975394,5739.20992664073
"P01356",396119.920030074,91411.4169549397,191168.61651434,1206920.10490933,27660.4385692251,70605.2889113063,24464.5394794565,404993.909158312,13354.5753373026,55735.4723521964
"P01357",400982.035044273,48641.5195672874,301484.153797872,578283.212251502,28052.9573180123,30681.0392423264,24302.6798918183,389717.394304431,4872.22362911722,6289.50333415853
"P01358",744842.01303582,175780.766074821,161856.288821249,75605.4019746292,26936.1389699185,5000.98602257905,25678.6296543558,72863.5591904759,4963.44660530581,6469.61922289832
"P01359",1264863.44455968,104973.056368265,32809.5462720226,454816.910424985,21749.1938980317,18444.5741643898,27079.3127845702,151463.284467847,36180.0882332917,44751.7663960069
"P01360",1120718.40110185,83358.4695461973,101915.472724368,299431.748945301,24812.1120818972,15144.5803602028,26317.8147813346,129558.991025143,13156.9836524114,9695.69817350089
"P01361",4487382.33621855,895009.997997388,2475.22764884163,19130.135123152,10644.1590016126,1402.99427605672,22790.7573648533,891.935847282312,79183.5676232737,186050.9107856
"P01362",420146.080782702,9681.93328084774,274503.219164625,9844441.82385605,28421.7980834997,346164.422879385,23087.2654614124,2406746.86065731,13432.8115997945,12532.1939610143
"P01363",4631509.98868817,500063.612167558,5704.13347422588,134451.6082106,12720.5325935854,21070.3927615836,26992.4013893362,8395.99294423341,88663.8463958415,183638.077775456
"P01364",1144030.64109017,102298.438902391,73087.6298018388,1106901.41046358,22242.3115715156,30978.9043894919,26838.1472369785,283953.040266728,25822.5177631331,50160.0847089209
"P01365",3523561.10771502,406426.625418911,10004.5620018383,226771.362572661,16053.4591221874,7303.01155805737,27743.0936685124,8740.65115805271,72133.9568584728,120588.753012618
"P01366",2154894.20933207,80253.68034198,25051.7743072034,1537184.81154995,21073.7451621026,181205.047716259,27095.666441235,130141.739503973,48595.364905221,63252.563924495
"P01367",2133482.08494223,117153.532940454,22222.8100784555,698158.052881128,17092.9322288728,53791.3646954639,27783.3923610701,319629.208123607,53617.5232546259,76092.4028017438
"P01368",2617934.22566994,479651.35886958,9616.89593689833,115603.191633429,17552.9302056541,6105.97336802087,27819.9812586732,9185.5817258202,66027.7878605685,93483.324093064
"P01369",537816.423934937,43499.2480307497,131445.909384238,1580968.58325577,26999.9589970049,63208.7543809881,24784.4250454684,746544.981475859,11869.6483640218,14292.5730783498
"P01370",241192.485438533,10791.4389061612,379207.355106884,3097347.98032899,32391.1246522817,173570.882580154,22931.7504260018,4860150.00707341,4903.49378663274,4662.16264660348
"P01371",4352211.3289502,918045.533938574,2377.73363284368,23939.208382071,8133.30684006024,2407.57429310968,22194.3714660516,757.18138729876,99665.8746620805,182329.365206345
"P01372",3545289.04794096,245983.091921755,9179.57342597922,673269.857087701,14065.6262404656,75174.770688689,27912.3821813812,101304.632165892,94855.1008252299,160673.322347537
"P01373",300643.454651971,36574.2549725589,276217.667321254,610613.302487937,27868.5144411338,47564.1349979859,23569.1967239266,1001712.56992364,6244.96564197198,6170.59375703878
"P01374",2617643.75283912,116573.645624558,14135.25742313,909334.646721412,16794.1431261678,60243.5883014032,27765.4303374909,149616.093055638,58218.7071494907,79752.2636973714
"P01375",605501.909220784,26215.691474206,189762.844652664,3876035.3636473,25037.1949643305,152702.063597984,24162.6892941262,2789777.86616988,11797.3602340088,10136.6577836358
"P01376",3915202.89613476,298810.704430982,19554.9459272815,67759.2249581691,17137.2275379036,6515.61830601761,27821.705664457,7837.14226837624,37513.3432359025,61955.4438119602
"P01377",2643826.28121588,442119.74515921,16055.7473358928,95183.4476128107,18327.7410863133,5513.07666190993,27783.3175430818,6873.38069653821,43332.4174283315,67814.9976406098
"P01378",2530326.13713266,198949.22249203,20040.5692311723,206514.536233469,16904.7849846964,23740.7322638762,27925.9900484598,56608.5279127118,53928.3708456792,94028.2858400063
"P01379",846113.054513659,215588.265571124,50860.9089302853,351085.826021647,23477.7978185957,17219.5747636199,27376.2192939465,76780.4456553466,18203.0128938694,28568.4348965499
"P01380",2305812.43750306,216523.9680244,18121.9447214263,155205.212267036,16636.931498573,24538.5560975757,27925.9831184284,49575.0764919028,52517.0153232204,74674.7186152424
"P01381",3925264.10936925,770489.286025311,7890.77631891709,9783.14475711729,14858.3239801685,728.100344176896,26783.19799998,420.018845055175,50678.5031947651,185393.322171145
"P01382",1166414.33548426,195220.8459931,40943.9865640006,579292.720306423,20022.0878818838,49277.8547021602,27801.7718509246,122030.763156735,39410.1289331156,45175.9321617853
"P01383",1043434.85667483,57264.1664968546,73884.6284900165,1261292.27746195,22270.2272126034,62581.0995874331,26533.7071108111,346298.018434251,19908.6101805933,26097.8867214964
"P01384",3289351.84373081,932419.747921161,15230.9252008149,16139.9091706953,13457.8137368527,1314.04755351433,27220.9487867184,1256.91553079281,32795.8271257111,73349.1979008528
"P01385",1104850.0017402,17509.7567834474,91622.7495231268,8103956.11255086,24627.7993918905,429255.869758807,25120.3034046437,8934338.68442573,21707.7813307137,21813.8270363341
"P01386",1059126.81338137,111734.10394318,89204.7221244752,287440.514165291,23593.1750406041,28427.3210203183,26140.7029872402,74897.639187463,9603.35376492639,13538.7216876004
"P01387",436176.819452543,18658.7674976642,236241.391728212,2642640.77802072,28581.1726492864,238510.173740256,24195.3673368876,7543851.11426284,9250.98327573956,6757.98349365278
"P01388",4694283.62094484,737705.553433392,3627.42480258623,57187.4423613525,9973.48361736008,3999.0762992889,24630.2530466098,2696.31297374637,96009.5485763145,185834.710671386
"P01389",1031587.90155815,26268.5967022776,95021.2439140481,560478.098047982,23882.2282394472,83347.7878074884,26198.1294721035,328408.939489967,21330.7466941332,16609.3111521553
"P01390",2501958.83294219,731353.667030295,17548.3517664186,29836.1570144667,19205.4025380851,2849.72286856572,27923.9887115477,4670.00871356419,31804.7052209804,38640.1297262169
"P01391",282487.853656553,14832.4847172184,250303.715177686,2867384.81362973,29275.1726488872,83864.461871115,23763.217331628,1323630.30039693,5949.05093685903,6791.16815662791
"P01392",148730.194229638,16084.7042695761,4827426.41468016,2389113.80562907,74495.5358037219,161655.955158827,19275.0838649889,4041671.77983438,1387.57329568273,5322.07856611376
"P01393",2107124.41021334,96789.7507614669,26643.8237084586,3364817.41281378,19559.6466137323,143461.347997395,27874.166793906,435831.602579051,60177.7285833603,89112.3726688408
"P01394",764851.695364076,42901.936311015,121065.617919708,613912.016711335,24911.9547953586,71903.4823119527,25085.263224314,606671.317206221,13341.733923677,12663.2777048014
"P01395",3700327.79044575,379377.02028938,9597.15931759259,311188.013820619,14546.491048196,21046.6500322995,27862.0794686225,27327.5652170564,78586.17666657,146386.626032863
"P01396",3269561.12145262,341210.167031275,9473.35226253678,129521.61253701,16910.0190983271,8860.36297187254,27833.4741738621,17637.9699977978,60367.154518685,102836.631873836
"P01397",3849881.58233388,47800.8311024226,10566.8622921493,1744511.85187853,13854.2975599606,75372.93170907,27463.5818308255,236241.903977272,64914.5849562849,26466.7825020911
"P01398",3298527.45732551,359148.436196266,23183.848980086,94872.8891289939,18628.7320680677,12180.414014231,27879.2412681533,21509.005488041,36984.1158022101,58769.5530502203
"P01399",3972551.03580751,737867.130197952,8325.58910994448,38129.9759846977,16097.0510005864,4734.73809005673,27648.228956857,6763.64530521243,63200.197422475,83592.808082478
"P01400",543559.846150331,40945.074446066,157100.316853464,719565.462718599,25381.7732140693,83702.4518900041,26376.4360644013,456811.801934048,11103.5266504699,7210.28933699796
"P01401",390265.599554748,21188.9145570097,362491.172266117,913876.876164268,32572.4289562963,37663.2364925699,24021.2400836973,1333118.82823299,5310.11163601251,4859.50481009531
"P01402",790895.686325157,27634.7290526208,102756.770364631,2544797.86422974,24713.2125594978,141286.839033219,26380.8077385588,875156.501990705,19507.2588966416,17304.2926251749
"P01403",2637414.12450189,426249.465745412,13108.8620577554,124613.324471876,16435.1194179952,4849.39261663556,27925.8360629895,12835.2058708006,45251.4845654408,89324.4296545367
"P01404",1532841.53766799,59449.3777185189,50267.1033506966,2269811.22632732,21706.2801068141,125983.780919593,26646.6831255948,456196.606318457,24277.8030110882,45593.3926308191
"P01405",1544401.63936095,418261.453059935,29436.4769760769,147730.262761906,20589.4746895195,9673.1253933744,27659.5670925974,71548.2787278064,23768.9645561199,37946.295180603
"P01406",1136699.71028731,68863.339667022,50083.2338754318,1436323.21598098,24799.0745223787,104320.773663984,25689.7770633719,584598.676622814,25975.5126158274,24544.6129343628
"P01407",4596161.61609149,851799.201841816,4434.02143022407,59578.6213729317,11601.532606698,5626.20532003325,24804.4294395794,2968.77030362371,96371.5604991847,179074.384149139
"P01408",3064936.0443014,197900.45248427,11119.5000998889,245902.343885694,14640.0860086246,35914.5860112086,27871.3902924489,44291.9560592248,71535.5300458484,136176.359683252
"P01409",1150490.80514189,25614.057999833,45034.932824444,2841827.52738054,21821.2877227234,249696.648921735,26528.6600228345,463883.718932087,26829.1478755471,45238.3278770412
"P01410",647678.177115797,33652.7027986571,101060.029581346,3211687.2110278,24507.3310362601,192271.577581651,25867.0740573828,1438583.27389507,28505.5254945887,32108.0209632803
"P01411",4498063.20236136,767070.327918392,6447.90842281268,140276.263939883,10595.09580346,8765.14431528971,26039.4572107021,7867.38529838555,90192.0413804898,181124.797294591
"P01412",525060.22767742,22972.1041983622,167745.924104504,2143396.95732629,26734.9943334408,104699.982823901,24419.1769250673,1967890.34730272,9845.7084270684,11813.9999310941
"P01413",1428592.13030227,435550.783517976,53190.9168210739,93602.2654673351,23913.2868217587,4585.52135378662,27364.5102498917,20721.2874958579,12590.371122114,11078.6059190955
"P01414",1936906.86060173,580047.241629975,21447.6395798062,90156.9601486067,20565.9151737666,6240.96342147181,27926.7400887631,16129.5270759712,26517.1422702203,48853.9390095268
"P01415",494511.163495833,13932.3207472781,298936.906950712,3277899.14068476,32857.6469145096,103219.379613041,23697.5958147308,3905797.87662159,7098.99689610439,6103.76202050951
