"","G1_1","G1_2","G1_3","G1_4","G1_5","G1_6","G1_7","G1_8","G1_9","G1_10","G2_1","G2_2","G2_3","G2_4","G2_5","G2_6","G2_7","G2_8","G2_9","G2_10"
"P00203",207809.626048134,294098.976011956,356566.182092901,232934.637968405,125212.460423212,393741.829799758,144836.22000971,459383.173206403,236803.478022772,224021.120588904,88442.2584854512,192823.44567405,338426.756885246,513458.38635007,237213.972002474,198127.606119741,222168.126723829,349559.109283408,313488.873973738,154616.213963844
"P00204",222840.533590636,346012.971042802,417958.820320387,268504.462939848,323762.091938464,243600.214298986,153310.998405106,357455.054176377,286575.870542024,216011.601300091,169024.88977643,165225.265082835,234447.975347814,333880.55807714,293955.329569877,235615.057038623,420993.513010397,337092.531645526,477570.999400464,175234.073157139
"P00205",321788.957838719,145396.821608132,411317.831528621,437499.2298431,438714.293918411,386493.509318028,444414.093664541,264715.136376422,523549.627712206,182254.351439323,217379.570351356,359093.4126349,289024.511152158,304048.179086814,233895.890057465,225859.419638414,565752.079418956,555866.402300583,565186.169257482,688824.644520084
"P00206",1236710.7451739,1753531.46701165,965070.842764025,1492530.19149418,1794771.6421302,583957.377580985,1110696.06296923,574705.98730036,1220640.83896311,940133.68241085,664795.620640503,2429473.2118804,1281453.71602087,864171.733958983,1859539.9297112,2561376.07396529,582881.603614161,936971.954788445,1000644.15628748,1343496.29272051
"P00207",814530.983600735,889991.764227573,370025.726874517,248627.610691046,460490.413514354,428864.274979084,157767.838826922,1603999.70246386,305642.779747541,560978.108668502,390879.150196273,621519.845855662,459437.795577416,821682.795428313,507686.742677749,640482.189142822,164197.202650384,555815.234503627,413589.884409328,339107.931332373
"P00208",259009.604639702,335821.820210894,391184.215976745,340793.20121362,425570.532382574,249696.115310074,312394.136102232,710954.135825027,291567.248474077,722549.576676327,255195.835823729,133526.056798779,313069.372750086,368140.27179636,273570.451815698,71703.1072758534,372980.760695455,283456.652191746,220797.196507758,956915.229585639
"P00209",596807.41019857,480697.643850922,318892.330534928,359329.561752183,652706.633260717,666232.787631423,404190.235356149,1351561.73889638,452573.342701802,808926.172337595,551259.958848082,423871.166255636,229158.950233893,250734.721290159,520410.932503343,409858.501588347,476087.525936834,283382.219999231,213849.355966349,646328.650104963
"P00210",404323.962604266,1590787.14449448,992738.086054665,353311.334166139,443490.04182027,477663.543300983,399776.881381307,741131.768381339,474864.176091457,1124530.35867504,480242.475614745,701613.111805988,335673.414192497,1116172.73873802,528010.13832688,854993.748406213,287865.249855361,313703.204845613,880784.394899946,827292.1291598
"P00211",1590809.572667,2748568.70394682,3081905.08219985,828372.995345759,1437459.48243601,2509838.44611875,1173195.34683729,999087.612930716,1099936.86933523,2150192.06784554,1403706.97482247,1478957.06113961,413678.502676093,2340053.22447923,3202431.09044944,1540225.08893295,824257.719190139,1187531.99785453,1994118.16372652,2250204.80644826
"P00212",90507.5626504238,17090.1510615222,78232.0649032689,139484.245234658,52216.5387841721,61569.3332904484,144829.249748868,46765.4899809465,77747.8375776509,66843.2220313364,132547.550694333,29549.1593904715,41776.9907826098,61687.3572961079,16204.1457528012,43271.3680411972,100890.823201222,104308.345270144,59846.7969753679,75201.8046014988
"P00213",53914.2153279528,198124.21208041,25910.0840323939,26905.6860131425,53375.6896758008,63352.9416086535,26976.2140055958,46267.0416306546,58440.4970080572,67648.7841748138,57575.0432340169,108116.911854593,106064.713474237,103849.822228008,62970.829444722,72839.1297047132,29254.7747646582,40413.3574345441,43486.5550875808,70411.0602350953
"P00214",396058.974677918,499679.705889634,313281.774183551,351024.664927674,365309.611747465,427303.725725309,218130.667751867,590803.562744271,1109464.32290458,448307.773372354,315556.793216052,269721.017977643,281797.054379148,391865.227577759,449385.575836811,378220.379786201,302952.038298562,370491.104780944,1012796.08705111,385459.066081459
"P00215",245349.176961267,93504.2643235075,385239.27670376,252845.25499297,85140.9334538535,195883.942992475,143033.256831951,119291.517966991,87784.9698758555,342832.108741805,142717.824101956,147188.205220441,162074.074632845,114170.223593893,92690.5053969379,145122.749721649,143014.898427499,127878.439266088,117042.253840298,185970.36658936
"P00216",73396.1920145027,214900.955803161,41808.801502037,32153.2065524329,109257.587233767,90512.4693697963,80939.0882509426,80931.3977201325,72169.9507340462,107640.871285123,34591.4305825956,148438.150419836,42109.1108275148,89863.2761308143,87933.5649835267,77641.4967404169,66284.6824230955,56844.0475326026,102456.288672802,37055.2501057297
"P00217",29925.455551897,39093.7217399161,58646.8845717136,58433.475215605,25302.2501918691,26791.8144368634,23509.4176341348,36676.2498125977,38749.9864968178,16388.4970926835,28708.0079850583,46898.7343078819,48107.9019717622,67330.2956712381,45948.5381147673,70784.0910611363,16496.0369160919,30323.7854477121,67719.2381317573,41927.2491192685
"P00218",189851.43766297,538249.669336183,93124.5046067961,99818.3768605982,202327.177533833,161741.75099774,167653.038873401,122884.87760984,365548.172942155,480557.617964389,224921.874367602,225158.421010745,154854.430709318,277893.159290485,472746.02625372,425553.744478847,165467.360790624,62950.1198255836,240065.199957492,104565.565975088
"P00219",2253974.4746806,3119625.9067435,3112641.94248297,2048435.36880062,4787151.27573874,3973697.2927404,3888379.06420663,3761025.22592671,4516070.64860339,2194255.68947754,478931.142677301,467010.275881236,441332.367466377,319883.79654051,430565.831285361,522129.233126307,489469.194908837,918351.021422771,873342.246534617,656203.796627361
"P00220",113322.575863349,77841.8906302755,79245.9418164617,176141.257900008,196262.891319522,153340.07939598,166231.829734184,159924.393834981,155434.482195382,169909.823934305,275551.058879046,69604.9332215668,208064.907665214,91699.1007011421,107118.431730402,43746.3456806668,215322.666885175,285419.997779619,185321.628049603,136255.66154912
"P00221",556065.681728785,1250563.50786865,370365.062880667,316814.296959411,405483.064486992,575876.329230867,544577.709229628,348365.730928778,684826.991410919,393611.872363902,381613.007403449,1242905.72172362,279434.22386921,421280.756678202,658653.407716325,1196770.57886634,559396.397134519,589354.715919822,990466.272112445,590971.060208026
"P00222",831710.616521241,228610.756722377,412879.052598164,532851.167953776,272560.05378004,273586.994825491,256406.7450896,429281.281006056,384005.619888849,524677.228479146,464987.32609471,331504.054803168,299987.351367983,323158.711757351,322226.842094194,268389.046838418,1856486.82341289,501179.575056764,383667.910667987,287353.53791154
"P00223",440713.693490242,218525.044552423,357154.776794043,851237.862767605,682018.694382214,394674.489772712,914632.597767571,846280.393261326,725157.976038464,437914.913567877,415939.143843972,373082.016464062,437954.497471196,288690.339604469,261700.98275618,252568.849742947,548310.318333094,453872.638292543,860858.24451861,300063.792236591
"P00224",10613822.5193487,5410255.98417675,22133130.8810248,12246536.4857177,6719636.83313985,8706367.68556732,8838185.97202759,19619317.7481853,22488397.9684445,11753860.1066707,15183850.0094035,9769121.59431261,29743780.872605,7407811.82565093,15951589.0701441,4334319.88539982,8299386.81436922,10910471.0103602,6916533.94507103,15486782.572161
"P00225",75308.9308653073,18069.937300441,201538.861675174,501533.325536931,142091.20126115,59743.8178355926,110829.811969582,69654.2009131333,87221.5607991346,66950.5671737968,71877.7876146972,35081.5975577983,95539.5335728736,70581.5411756765,80936.9033646374,24105.7297270324,272642.431962625,60301.6324153515,111110.95615856,82236.8221985185
"P00226",2323828.29878726,4274150.8493947,2078726.36982147,876517.6484452,2331881.63681857,1123431.19717961,2005309.41554833,2033213.29068019,1145996.15569501,4883018.03440599,256685.675361092,386055.198287258,290826.694340067,746241.865090438,512143.038827018,817853.57325845,247725.855154612,269841.722617336,240129.658741657,576217.610227931
"P00227",4773235.00101341,7493077.11605902,14735466.9929832,8396133.90450264,15245580.9255907,20133159.1149799,9876695.13309,8142907.3773073,12733228.6403559,12933226.8282262,23253510.6063838,7431725.04374589,10597965.7987387,19213917.8953987,8565063.32086258,7036002.74070841,10455785.3053495,10800040.2553068,8534605.27885643,10375769.7972797
"P00228",1501799.31617226,740415.452942464,614796.357937133,425226.614863388,782686.745924473,960459.721455572,775275.634015425,1287275.44442865,566255.602620666,1135239.15402457,762107.204931082,2142249.40399925,1221915.06819752,1566235.97366404,2737537.80514756,3340300.20388218,1015532.07510856,623937.634374835,1543405.44518195,971924.337473511
"P00229",107948.612026255,60058.4926262017,106036.077062511,99509.887722169,113666.43674017,91546.4827004243,133212.49939356,90419.4314591385,59534.2980982212,214338.579026802,74226.5837549361,102725.798346935,152890.708844284,150463.823736833,132494.096404845,115492.06642537,439309.284926366,73594.5008626711,143093.74211905,121848.708443081
"P00230",3874372.90323904,2927714.89310137,4300759.43851748,4873288.92798791,7175315.29853367,2235976.84985644,3846002.68522457,2783994.77363393,4439349.7705102,5781498.93331707,5544538.78381668,3279170.06130161,2228213.42627044,5816521.5237325,12085665.5106664,4349416.039889,3173810.41784364,4177303.62359762,3001556.90838098,3512852.79256441
"P00231",1626327.61397869,2934465.91245208,1842878.71880909,1976329.93514969,1383067.35473581,854439.103950922,1749955.2150242,1189612.14804699,1433858.80974448,431361.187096527,1545378.26124565,745425.948463794,1675787.9937979,695346.611897674,1058891.64279809,601532.749970311,1438774.77762514,792151.642292474,644150.450304629,1618960.16557582
"P00232",34546.1159818708,28575.5879442988,34246.1264239795,71564.4086797848,37959.7918671703,73568.1623064432,54803.3735488889,45817.3815188127,54666.0812510465,33100.3594722899,44540.4386282291,54142.6531960208,41879.1919215246,39492.2378267031,66628.1348668117,52420.932194502,24899.7876140811,55988.2009301095,74000.0480852046,64418.8033520535
"P00233",115552.471832599,84307.222404426,108098.862349784,217978.528568483,130537.536866608,244609.101622863,263340.581019346,74457.4199203905,80871.9444989937,182479.310724619,173516.579243452,337708.228660586,296412.14800546,230948.160644152,184369.417899391,145934.376495099,141213.776434491,237577.504356857,82167.5101965411,225567.4727461
"P00234",151466.972720058,81436.6028509701,247791.26185824,118151.839548593,189502.840317827,184588.446609058,165164.402157642,118028.315001762,329505.723956395,104768.633747593,191558.53016324,158948.740195858,102722.715178306,261024.729011406,90968.6523174506,102613.364996025,277090.542619364,122776.821733891,431663.687643869,225545.500599391
"P00235",372852.711529393,139445.864638846,241152.229720855,379391.565295741,267473.121686735,361967.724914089,382692.199374169,520604.53637313,472738.464334317,221680.280969101,245344.812803105,169917.711391435,758080.638952844,403063.568604187,297912.471579469,341669.66797998,396091.674728965,537563.663615582,410500.831228105,470645.545774723
"P00236",155106.640609053,481601.042125394,95055.7520638281,204461.558133369,205432.803491234,226883.480694617,182397.66162603,355356.251989024,183436.123518641,286529.26725225,290656.757123027,410472.219372812,228107.943314934,367329.892617888,301295.266281421,378364.291796229,141625.769695004,255275.152070802,205198.987808013,369863.212226243
"P00237",19869714.2341765,9718507.45829516,23464052.528235,71588347.778201,12203793.9268545,10450080.8491543,10183733.0936035,11972742.037861,8989533.68235542,12444935.9222771,19224168.5672646,8965891.44082507,19876004.5387812,12549497.2086807,27660034.9025065,11036019.2611729,13263397.0683055,14643124.7713684,8909102.06749577,21698952.1552958
"P00238",194084.110988279,233824.48189853,116113.285983524,241937.014255584,201566.288825462,367180.121621252,133672.997111879,245215.772837233,240529.963846009,142889.864655744,194827.791123938,271277.404553717,307422.992747232,254264.302519869,314462.371775596,269611.110603598,166136.476563157,173429.078217101,292433.807983704,209437.190870818
"P00239",106132.840615451,76530.8561193073,118864.029091696,249869.689767109,248417.563426575,107627.512308758,42267.7781434999,185671.667603518,179892.898597797,93587.6237995874,174481.192096166,47726.0695097287,121858.759696076,122529.082700615,94789.7674436893,68313.8384278473,181613.832480372,80992.3897823915,127338.506531291,66384.5630280175
"P00240",55137.1492582566,48101.1379139653,178108.708263234,42644.1445904277,86042.9215517157,71860.1738615274,39071.8694746965,72133.4599071176,57631.3257151469,88046.9736204042,78599.4651984939,24768.006163826,66545.4696481998,44895.515860086,69399.8751962745,31222.9541089677,67907.4358228977,64033.1800264908,34448.7258646119,46739.0254690272
"P00241",607683.273728388,2077232.64780424,601739.0388768,361140.940222049,2414068.62515531,1100711.8486265,592835.605974876,676482.132543269,522985.452642002,576932.996276712,435818.758859131,453797.190132054,950261.123372569,2000062.91355833,892827.904463115,1260024.54353288,244068.716045268,624713.088383566,586759.214554427,797772.97171046
"P00242",688418.337302237,549767.818979221,390153.438626787,344307.386301269,359008.014681154,413796.399927606,731077.735127366,450551.106925475,404451.362966701,1198281.5756776,576425.485636042,1176112.09351659,490026.40533481,624585.345090596,512899.334387697,806069.10713176,524801.99721944,256100.463256561,400736.670609387,315772.414096095
"P00243",1191887.26685407,672179.437865752,628602.21732601,1323837.02517206,1750378.90216652,1350808.86475354,1060796.60722592,918599.620911619,2484184.16937935,822320.947185287,594146.012428289,641838.519107745,1038244.16133161,796396.620495468,585169.441682833,1080675.16990872,1637010.03722153,1352922.30735094,654689.307171683,608792.202006626
"P00244",110872.045483848,159341.296255003,127098.368334621,155873.558744457,136923.210009209,89610.6343538082,173338.967142006,139978.291610503,189305.483065456,89331.5795065794,193652.130615761,216382.403691727,297108.772858577,139113.861930373,193280.507855262,160807.760824198,82373.2524117612,338457.023890985,275389.492182049,152260.629472697
"P00245",786022.958229405,435441.758206858,543161.957857698,1029412.71455876,277183.172736006,712296.650939457,411442.687006858,329771.888682522,317230.143055446,213561.232158229,674085.204083035,417464.542106958,939180.285372053,396995.933196789,526439.119815738,361759.535735553,2267872.01895197,557459.905052829,379482.056003084,874927.036167778
"P00246",8569687.86169996,5347164.19626801,4458701.70599805,4123866.79633081,15651264.4884021,5868901.43472387,9304202.64429151,5413016.1029167,8718988.87427979,5297958.58801145,4343165.13483693,8552696.60999747,6955634.88205593,3752786.93859891,12104469.0271797,5221038.99859617,9573790.44031917,6313884.5361441,5763339.31282374,5499712.16829785
"P00247",447522.014659627,221255.923740312,356292.296279987,473662.947732048,284142.367958451,256625.273350749,312693.645877623,186235.380274096,224995.420901837,469165.375370026,731750.496733437,357870.380410036,212039.893670508,133897.406049725,163107.481786474,80471.977125223,368482.10403641,264466.666513451,167803.474715143,245629.264603087
"P00248",808775.683091564,272393.89285939,351549.979364626,446853.685686082,321676.00113505,465034.030265615,273976.951116252,640282.075108769,572758.197243673,589340.312869666,977520.448123737,199396.321450357,969094.840021701,576268.825985815,520341.030910205,359331.717857043,620044.464457097,523082.216538047,523580.620640618,1111134.80170861
"P00249",37713.3524461466,97850.4417851436,88753.9480518099,42690.6255723715,49898.0958074784,51124.6851573276,83572.8031659483,109173.021299353,101829.144454262,83864.8656343889,122122.514699566,93438.2182366652,105805.185796921,97954.7553425162,170528.735997936,141464.46752733,66052.255711275,86986.9780939934,80533.7366207118,75212.1711023965
"P00250",338808.708177982,456362.023837696,350901.939504575,103362.412777632,178247.717199751,320921.358328309,269754.750337949,167465.174334445,412786.290080754,506871.754799239,155851.478451704,250981.014255867,156460.637626248,637691.173558914,324001.722491676,494416.144239263,203054.746223803,186788.666533361,445656.010352378,272891.077310513
"P00251",199396.930778357,565229.212759023,429751.985780713,199676.791636621,372116.190923129,251684.412207914,142326.819609715,254182.557107195,292031.249604016,296027.179854366,199208.152204523,271178.90867101,106544.634622732,218932.1607045,316254.681880142,328414.175676064,133225.763452994,469499.468208758,183216.855257507,195111.959003131
"P00252",494599.274365504,328171.743406744,163502.450185472,85251.5603096685,313192.940785316,592057.959724243,296225.310428646,338582.247440315,155915.849061933,303047.361513538,115449.87474896,274601.498618873,244441.051301559,586472.358855136,623214.875657235,390835.458961846,382044.56784996,128893.913103469,323185.569433777,278627.233221236
"P00253",50413.7694292635,255144.015204603,69514.3950900004,64052.3756109997,129495.60489445,103772.391693738,156574.019705866,186870.569829489,120020.213842712,166572.489389473,104870.058588182,134543.771048523,96983.105719375,168282.869402684,223225.409671338,202350.365197157,64167.1427309022,85449.1379811525,137120.191375829,79704.7453676723
"P00254",165905.02060537,467634.50355648,133400.306188657,230654.145253909,184560.119667321,552589.338999622,339284.054635933,345092.197961336,134777.986541435,942379.66014526,246081.706284995,297832.070449313,393171.746090384,212353.970484325,261510.445167254,305463.165149579,439312.786033059,196184.821532713,268440.935555149,382446.365632618
"P00255",826478.067753816,2973805.57936899,497988.898564015,187265.849791769,1790385.51975907,757540.549609685,312662.413080633,807305.386461341,1233771.51686537,2548047.5003053,735681.780708442,6235359.57289442,830975.358984801,1460810.41134808,2087604.09445444,2998148.03893343,546179.879569379,638482.634625497,1102068.74493758,630047.752158634
"P00256",391452.769528192,629990.529409634,767113.143865535,186068.572965793,830207.690781734,532268.500892208,566371.422511207,239400.319312777,294630.995657769,482662.365655213,816967.136874406,502557.87202533,435752.930169529,502673.975108093,422863.508259546,623759.106980756,1107931.75366923,322014.958879611,676257.11065888,247361.552936624
"P00257",805108.372436379,431807.113771823,821418.008169153,854027.708853495,596599.132844006,755423.729116701,1367651.92170273,908743.292621218,374258.595874546,1024020.49310645,581608.153528192,1032612.70419426,429247.250794656,533504.518301266,402833.160965297,897071.001014888,712423.927331976,560802.880026596,536631.093585802,816593.561904416
"P00258",198601.960493847,161091.93450378,129754.478958284,185304.301606192,97452.5258322827,195965.080262039,100902.997024009,110467.812821151,198969.94297931,129170.802970954,147762.317821155,61927.1330723601,128581.286370264,224699.697695792,275610.136603609,425863.701126193,125010.443784518,79555.4933961994,167207.199840599,140428.721729881
"P00259",277866.367796358,833027.869348656,440210.651273986,380879.828085353,484234.324507349,300388.299069235,288664.859198569,542005.588244776,345477.655599032,249498.01425494,273690.714715751,141648.648121549,186647.434966594,293288.289171531,178023.549386017,298297.042686869,396517.354028757,267025.759854028,231127.193469512,334016.339673077
"P00260",211633.439161807,288616.799663489,257131.904159744,229070.169130528,423266.94321942,246760.884089306,397332.322730547,255628.345043733,293840.126948497,306203.908868724,159102.445754951,232375.083312752,311963.278343135,268674.169959825,291522.513835296,224678.103907921,355078.112923929,120932.704978883,186299.50961997,287215.561550043
"P00261",125698.38549841,524874.032453493,69305.8208511847,132249.165874788,376086.95747972,348058.792305825,174969.678366237,271622.325784335,377296.5383267,227762.369891781,186344.146172342,175093.168431073,118718.537215469,268851.779350844,125896.863639557,571762.485155977,388798.229944229,165526.911215768,249248.587033511,183145.865845236
"P00262",78285.855378282,118836.042103093,62529.765776727,60050.6617070604,57961.2115903604,56415.1910522257,110052.125524052,115486.86702585,157379.824771462,113842.673893318,48622.8335811014,147071.29609834,54292.0915862886,143460.341627302,90128.5492760447,141671.920127021,77867.589510291,37466.9213113993,74415.6457780148,77165.4452260366
"P00263",1201576.98829965,2286998.82132373,971080.759722864,1648698.30584128,998517.735291085,1870191.0326444,757290.228584096,2532914.26895645,843708.055796112,1475504.89878569,190097.521123885,219586.557528815,211590.084960373,516955.821177188,563530.124709039,431363.323141533,680973.979628644,304156.874855153,380209.444451128,957969.473335638
"P00264",79404.6739457651,67816.4529060589,103674.590994473,37289.2937188873,48141.7093514553,75283.2529348905,20755.0771291909,56441.7081658823,46907.8985668967,92695.8277598491,142569.795973806,41794.1617866572,115084.276949699,45725.0263161963,98555.5595337174,89898.259210547,184092.673403218,42191.1884405561,26799.5606816859,80468.6780772098
"P00265",91942.035381458,176821.760363823,142234.264841045,95605.3449910352,117393.459632792,100671.56968146,320709.532578156,204665.834132689,79065.2613030014,109336.454368624,46788.775028046,64390.2129111924,94305.2018052583,60658.1304584373,70265.6599245763,74441.0029968809,138908.323242572,96186.9801798506,110629.411616647,71472.446535376
"P00266",479947.813649953,383669.499787719,271893.74279362,302939.197841002,626059.116074747,221640.409412192,282784.500239485,244044.998709556,349991.039129737,223231.440047223,505932.071345577,105013.789493892,347457.070775754,135383.156550622,109522.955710721,147184.160746365,329853.242453528,401666.802480418,145399.309563209,454607.285080985
"P00267",175304.138392478,97974.9454214051,669604.734008042,233628.806335976,513020.772145147,180747.109999476,165621.439499159,283552.100403088,172236.627520975,217819.84633244,156888.877826402,171038.277282738,318875.588775889,176410.613663361,472048.044213109,140983.109620369,241216.219520875,91617.3099680876,146860.317362174,88272.5443442152
"P00268",287080.757630535,258971.755487835,543493.220971755,280524.119934228,410283.506691924,225497.423743187,385040.902670258,301478.005015621,242561.127383906,383794.526187433,374367.795920078,356230.513156317,190965.807894263,246843.933299078,286252.923694888,864233.070172848,141974.719426356,166103.896127709,271662.14222033,492089.306261102
"P00269",300573.95627313,216770.049674494,148249.180830787,165569.314184754,69701.697174567,115401.750505627,241322.264277991,104784.590262971,97659.1323917899,139291.127001615,148892.148159574,99014.256408619,138828.025901101,95386.1786694878,154182.073847206,109664.281908455,156451.091916815,170094.340345225,80526.0031862224,109412.387356325
"P00270",72555.3710017241,166705.37625746,84413.5313131212,85442.1792671495,89101.80737875,136154.234382164,56001.9808819434,70837.52676582,150587.486970611,80835.5196553895,100074.332141735,148781.917450026,94811.8133142168,130802.225183346,124344.844705636,214441.857799041,98679.1488023026,72322.284406694,59404.5378554959,129523.028897407
"P00271",384264.103940313,242736.158153038,269503.053405031,414883.9438602,311601.86218272,137674.445949563,191569.513077098,320716.889418179,370730.271618131,326820.73189076,809553.199865581,220631.87136269,213845.345439383,123648.755126429,166636.906801116,376251.390693236,262753.899199286,531730.558926367,263046.820585697,559185.166835981
"P00272",30222.2273927433,56393.5303096721,32890.69094743,22873.5070932142,72778.0145968387,45432.2939707193,59115.5221912525,53796.4701137707,47099.9965300722,42351.468631726,100182.315042343,430544.207490554,162953.291924296,229159.622822932,204452.837437908,443008.442461528,57411.1904155435,153988.632670799,111573.18559658,50142.5175940709
"P00273",1050787.04808344,1592045.40558216,1282964.48407604,693217.811942772,834527.679865494,695963.463128758,480439.852683528,991123.239954076,883577.621274737,1358611.56811138,330451.21192634,669227.629736915,972268.70302358,1368254.52714141,843447.048512786,1488389.74769786,535116.148941521,384023.681750271,1038202.49418124,321782.078117046
"P00274",230415.506003358,249101.283271854,388140.433248897,225128.168052795,87559.8287408173,101325.43616654,138006.979039205,184391.255873015,147287.913681052,209658.70390892,246464.193331823,203312.024774165,124075.273147044,172599.200654687,319851.429755469,399132.870594435,185662.140585111,144096.362657514,143563.193143614,129521.531428924
"P00275",113782.265964008,281236.657385156,170115.027746242,90534.9774727172,438669.375218353,312320.542681756,284593.741900049,335394.53077736,301688.363884691,428467.476072215,235577.725005246,385863.346906931,247151.23745201,379133.31770317,138949.621508347,406961.210786961,159448.801267177,388567.460518722,184622.983889981,291315.985064379
"P00276",225334.580364894,267595.090231456,214738.165358808,222170.311126387,426249.970136313,542703.319108216,297008.05579235,573092.140830624,283280.585566626,188960.923177551,246217.329573653,239693.517806069,341612.923611773,361751.038833116,216749.289513845,310280.957667192,90494.1461820729,215637.280990788,270424.596424649,167270.288768148
"P00277",444431.017259993,239764.614188033,398101.710055964,250064.236372764,248500.368679007,503113.306383408,258279.870192128,556190.696982898,572161.015442338,385422.853821979,465149.127785862,290011.580993152,467505.724029809,246810.414334444,793342.515983596,437129.921330164,279905.893204453,248403.086226814,538497.748486078,512822.218408636
"P00278",1380628.42554437,1723802.61054201,1886942.73033106,921983.941576937,1822888.05777474,2252371.3701293,2103116.03183167,909895.832940547,1191185.47430574,927919.600500354,1933318.12478155,1015306.36654116,2063233.4911396,1250009.52949583,1005389.69201183,1025487.76000651,1839521.88810623,2535241.47091567,2298089.8737928,1909148.65870909
"P00279",206909.084152018,261689.339062665,91741.4986080337,94240.2297441409,221944.963362928,144645.309602676,58916.0949001447,98301.1279507773,186704.562858261,111268.981615661,112963.077925503,432739.539698357,93024.5488420656,172817.865388973,161619.466728903,190229.102205399,114213.790958481,77637.1490081665,78243.2656073396,106368.549364128
"P00280",499612.301902288,499250.184879561,661839.63842274,528663.058829261,252411.477211479,559987.16750903,287793.683743831,233045.1911256,646264.655983362,615896.182068454,505268.594534331,679003.589871089,603356.956399285,826562.827827794,136540.284755654,430155.790851538,342509.178136253,429445.685848397,433311.596629257,210281.753992432
"P00281",4607413.70314522,13013936.1978195,7051859.46856012,8902038.21438462,6703301.01175423,6138757.98491813,9150215.43149145,22020905.686028,6276078.73968971,4203950.37433109,7017469.41799999,6338614.34689166,4785920.90534073,12809160.3278699,11770504.4002874,6587336.32791959,7062374.95668689,6103816.70288325,4849365.14721312,13642772.1247
"P00282",170168.482226929,1269089.67331462,175024.345880197,85401.3035770489,633115.680270465,396965.640628092,193282.97513282,380516.494435396,270711.438460226,419034.198278697,367585.407506572,757133.60140722,257743.623672866,165233.37884139,269774.492498171,345348.946136225,187730.559316396,266463.807685495,180026.032772364,545486.21089477
"P00283",125361.982491038,133381.287539156,247347.520688114,253036.268099981,166377.457744457,213515.653570603,196293.582215698,145765.285788432,276496.096159696,317577.99072642,97762.9472054966,306671.979651873,86035.2134887315,108571.876002321,217784.575238814,117639.563066797,426876.865637159,87745.8091648954,224442.296762479,129586.37349997
"P00284",706794.154451773,582348.741998349,383335.16194731,265086.077162674,518594.292024588,478641.120173809,270080.02447729,490434.148534027,575848.950430531,566077.485974792,752844.543337975,609695.013395582,329151.687446456,720296.050155172,464586.303338611,551865.391275714,371588.856321781,669737.253120022,472424.248908511,461963.461320555
"P00285",442036.763241305,439503.732250155,398946.704487033,138580.459035059,373500.360665863,434487.133755131,605625.200424721,385019.044627933,527499.158773576,589418.089032113,335679.038298041,285567.966703671,230357.280891755,412035.668724416,358336.772172141,387649.449640047,365057.245101728,548430.210643862,803222.695465166,1248834.03038332
"P00286",549771.759422672,205437.422479224,383476.639503618,323281.092315859,257692.034294163,540765.013220619,267614.089136792,511344.48975922,600975.303697408,210967.472093653,835705.719483095,313576.342983519,208906.144342431,446111.999501479,324687.421732619,316487.538253569,423761.774897761,434136.667949423,285343.461570942,434165.526493087
"P00287",349837.975233934,140792.417982722,247167.738986646,250838.64136774,176571.29297627,145347.633179564,152915.941631457,192761.138257245,136670.280897901,288122.05448304,283185.785849605,186042.933770112,246439.646625024,226085.025905766,142417.813372851,215574.777359602,156539.52815072,231553.624218814,120618.921447486,210076.002995778
"P00288",1667156.95325757,774132.623647922,237470.107763917,505864.622953381,276288.098844327,487534.984091356,379783.970538648,226499.328969477,236230.013164482,416162.845146486,316756.302286159,313455.841446271,227211.462000409,226739.272526433,210878.528845694,326109.43629968,351837.87465532,232289.147574042,226461.672405155,127680.510970108
"P00289",306713.267106363,155926.930751396,469070.225769067,196152.422929582,167666.254494886,319464.07984136,312018.602116646,93305.1266015973,222249.502615992,397781.969601272,295521.407721898,196868.499888975,265647.415697887,442525.053632238,254681.966911089,182471.463391929,348318.654290143,949800.46400056,412101.598240656,368925.09494793
"P00290",126586.772953193,102273.656297782,203293.481058031,149414.892419896,216783.768211699,89658.8021524158,200307.923457429,185073.037720379,92883.3964046131,171581.814252048,200953.384693857,177835.436083535,105043.434157268,72998.2734144875,142970.791146895,93667.6046165072,166746.117326246,183741.887987785,200815.787074809,126389.646390308
"P00291",254995.531217627,371531.00646205,394967.717084347,353790.635178557,497962.175342442,174394.310091753,397780.547831923,265959.972683497,198720.527177842,317892.853153269,221513.336171932,620426.708250747,271692.679573969,343893.944427553,167714.717788809,220142.322584954,475697.241374589,682881.935735698,306678.492224299,172695.787161958
"P00292",172758.757178711,193341.427032638,317341.291041606,530282.366615886,264285.262331406,344711.588667118,610137.962989236,223372.518627383,363306.482130309,190101.377123957,378186.305365927,130632.920130237,480353.711303799,313364.292469864,365558.139841006,231677.545815415,464442.211435238,503545.131669405,192388.807294147,204188.851111263
"P00293",75860.8366684616,37266.3474631299,76996.4624000674,71777.8223235247,48726.6937290789,28173.0742880614,52624.4697787267,30174.5385623369,52267.2721949813,33777.8668537621,35538.4973137889,39368.5826687666,26086.5856006288,32366.009798662,76451.0769641376,43183.911634412,60978.8736066575,72056.026252523,38522.4625977269,43445.8545720713
"P00294",753409.424269592,790711.648556756,1032352.24437493,1992235.20019489,722551.45184008,662603.107719585,807294.512023468,791765.650193982,1559436.78363398,1215545.96668344,1246280.90681821,615582.426212097,719913.94602501,1469284.23750254,1062028.69413479,647076.806643245,1901731.22246788,1887763.43065993,786891.752443182,1065537.47405526
