"","G1_1","G2_2","G3_3","G1_4","G2_5","G3_1","G1_2","G2_3","G3_4","G1_5","G2_1","G3_2","G1_3","G2_4","G3_5"
"P00203",981088.151515025,372044.290437945,729064.026032934,798485.658621763,644959.973585151,373977.655555347,297990.413731053,450665.527416183,743823.071879435,715371.866800336,164432.850192516,629759.252497279,1501549.14439383,1741854.18780629,804373.765504685
"P00204",692148.602596358,385778.731047842,633936.511842207,964613.828985105,536830.695546018,549770.151260625,199979.254904466,284981.019096769,661596.525497256,581280.972636224,199081.858362023,771083.078950359,1479062.53381838,851816.182420903,927476.516953642
"P00205",266384.9475583,62952.8556286854,197576.081127066,177959.90912736,186110.744954114,74753.2358088253,105056.359796319,130938.249627406,223678.102352468,192641.379319893,47370.7232635706,158035.953035725,419503.704478694,781427.893710402,138057.438085805
"P00206",707100.465617451,185104.237768582,459469.197772937,501610.276316257,398956.803066658,195423.261276791,247533.317189139,304670.302387202,583630.564820609,512938.383670815,120500.231112335,326324.954859909,1201080.30647303,1392192.10179559,398022.175137372
"P00207",765254.827317469,207336.596145156,497584.147510139,400575.651481836,556490.814883902,168265.888524695,362718.361727362,543917.612739151,565332.983984604,635528.086093773,160727.261505413,456098.930483195,1443392.20200227,3254805.49957219,481402.455159304
"P00208",338321.103465241,169128.097267546,295292.426210805,373087.237603801,254966.707459279,139694.919230268,84565.108527435,161512.507506306,390328.350066496,253552.986152825,68774.5550334991,277986.197680453,557961.878332794,632582.361239327,261515.387077317
"P00209",13309.8839258313,11036.802293957,34071.9154759092,7063.94608091186,30818.1681086488,7730.29244503364,7055.73021577452,35013.8570479256,27302.6284518735,7946.71128878275,7193.87328858155,18669.8947412751,22273.9573550197,178713.991764014,21999.1038906357
"P00210",965610.301107542,280126.819695358,508408.751864913,701769.444602949,779591.178312371,320881.522773573,248177.783665336,520231.884882865,515208.70396044,586742.349993834,192735.081380173,570096.123343166,1909929.29044901,2021479.2017441,500082.079502904
"P00211",221989.72253468,48361.9919124953,157957.018611791,145327.088047711,144317.249768358,63492.9944709244,92345.3744185291,109406.85684038,162664.416426584,144027.978013007,41699.7176665833,116685.143033844,350525.949371855,615879.26376021,139702.847196328
"P00212",1104573.94071065,292176.152469143,743778.290490367,762278.580343901,675388.191829184,366456.325451838,399190.391979067,494752.390936608,952660.507795535,726937.68927509,145157.8393953,637266.919563332,1153401.55904594,1794897.10281686,797094.852489977
"P00213",272181.171918184,113503.553612388,238272.737221366,279065.326968803,196564.329914887,115787.169514036,94938.1828736479,152330.226150395,220825.251311809,223490.913866405,69294.285129051,254232.900878119,439493.963128607,442970.805591766,205497.6730731
"P00214",9802209.74478144,3113763.18241001,5047298.90554286,8159088.47843349,6767064.3087181,5498685.81188676,1876271.73780925,3106345.03865665,7665203.54519109,4794239.64769089,1927273.91671594,7903770.50237459,8791634.11086955,7820456.44240932,7807562.82390692
"P00215",557370.895495572,96241.8402310043,233465.502254926,270414.344082059,313146.394986585,115436.382786419,200202.338929423,224715.001696946,291461.353094695,227856.241945668,67311.9333700855,240687.644459173,730064.947671681,1598060.13756814,296493.500997375
"P00216",478308.030349868,139601.226442047,368125.083174857,460772.947824805,491837.250146016,135263.527425696,243925.336264068,299286.714082904,377643.931257178,386031.463226955,92853.8865996813,261149.658475556,764476.131818548,1436451.82815053,262949.42103404
"P00217",1483621.72468946,413418.474743484,1024584.47473228,893535.550369131,804882.608192026,402835.515125895,546573.358278742,714201.679164384,873718.613593592,981328.956261681,264291.760139995,793808.437014197,2607286.11458088,3180559.69459341,767638.017805281
"P00218",400756.092287753,128882.288757075,273156.531916907,331706.087195673,263451.421766307,113552.405233766,138800.229382685,156602.483808277,238850.349233815,220419.63195944,73661.5249725864,267390.997612708,526308.680629819,626414.280347186,195093.294744136
"P00219",307513.191910556,83273.5713907258,243027.978759147,174978.008641215,177758.681765037,87704.7933374727,108273.523193729,174851.705455884,240286.291237374,184046.379616304,53967.6033269373,151838.741445561,337501.665327171,902004.514482319,190007.258586494
"P00220",96014.4498855879,25261.2731277353,88856.5756837659,79541.6168482269,85533.052032858,20532.1682905025,60911.8829887711,68386.7725686295,73652.0596042183,94724.331599033,22930.8660158109,56023.737968386,229360.089343104,528183.809343979,49150.5006163413
"P00221",327194.304004319,145452.751741717,255416.280884935,242321.763334802,280698.078887541,141363.031980329,126157.799257371,179838.583839884,273457.992371114,324458.813075185,90155.6068426758,206287.483698622,484780.798536528,773020.878461062,231257.759103396
"P00222",977843.195232347,282825.113937615,488485.602448153,698092.640831018,609571.631218121,360122.981374448,174432.630796231,360251.162735763,777424.712802714,612349.332785478,189802.928384822,527439.953161396,955440.239735267,794279.38044404,668433.123252097
"P00223",596786.565762364,182011.075928283,303532.45303024,311813.491851565,368355.53422306,126903.853311524,131565.83736709,326027.186095937,354834.922974301,331421.472002009,84237.889207135,347785.420211726,691276.222685289,995956.697948957,268447.135932931
"P00224",474712.964018044,173459.484662451,317111.406038703,366415.294452865,290506.332196312,179421.312613254,163368.98769335,179950.304864899,424801.064543998,310614.382544064,79873.0365697486,294931.109891098,750638.671355343,807490.193109736,395483.781617108
"P00225",47755.7374935866,12404.7373080149,28564.9758511372,26483.8184442511,48755.5972274508,6936.84969153476,29413.7310908735,46139.6859700657,28960.1303750083,37060.7551059879,6416.83430266659,26047.404328771,99647.2957434173,309003.13016972,26865.7529960336
"P00226",107181.485845059,20102.501916402,69424.4971426871,72023.6721128361,65701.5651348599,17053.5902726834,64292.6949740718,76470.7634248118,68826.5691461102,93388.2800797937,16854.2862706659,50679.8142758389,181366.584335668,488944.856531977,51903.4198339386
"P00227",817661.76052253,1274489.84478321,2434266.61941133,639706.548353463,2099658.61457091,1438413.41467196,162498.816984956,1344992.11988126,2889244.41777284,528405.412171936,551602.904709969,1749622.18149158,914861.371846484,3373846.61857332,2045418.44192358
"P00228",551618.221408702,185558.951409701,309760.726722221,484734.210178491,385666.713924985,341616.316611242,93974.4137072354,208505.64469213,435204.059252362,364559.708520916,124943.665272902,361218.502881624,575356.209141164,580863.744324635,429520.703649883
"P00229",505963.092118193,194425.216864447,395768.411254203,433746.098052933,409694.930311351,206329.192285696,155766.912358152,286031.711837851,485772.840090292,367567.286703538,109524.26847967,409287.194210491,935010.21164075,879937.5780616,353046.056861104
"P00230",1062177.37961865,360567.554784454,698913.753322447,1027284.62479974,560657.867265314,394083.251636938,342340.61299616,633979.693348052,813152.085107801,853990.658449864,204422.031999215,641595.532085264,1608794.51670263,2229811.76781025,704733.763042747
"P00231",71289.7816635092,18106.153020493,34857.6307847993,37992.7524744596,52333.0534360999,13381.7656083134,46681.5504967911,51912.4959821024,63785.2925578771,63075.6772415137,9956.99946828883,28446.1393572021,117319.712383919,331528.222059234,47620.2122842756
"P00232",3548445.54480006,948712.362178329,1648908.55651003,3059194.48894647,1881458.74637408,1207009.47341242,788327.281447119,1065574.05940225,2399483.20953757,2038967.6284745,506481.367147159,2052340.60903889,3934683.67266805,2915544.42189165,2262085.93042384
"P00233",1779978.62327705,504839.053039986,971659.277580624,1191474.22573469,1161646.48879793,594474.218695226,437701.560118954,682634.383757425,1284495.28877176,983040.540206435,292025.536043188,829738.172300167,1960582.47457326,2634687.24102324,953567.958711989
"P00234",404084.790714594,112177.535003467,292059.314378232,352817.498507671,267590.973795438,142060.552803456,199376.1337397,196402.663301749,421435.923007956,347674.067709974,87101.2038197081,372775.598822114,686947.635534226,989598.756356221,255580.124964371
"P00235",147396.644890161,61199.0680747726,82122.5397076117,137483.856500873,127449.442405288,85386.7312644335,31943.2935913578,68530.4153888694,112034.803132023,116286.325743336,34752.9152297687,140324.687434367,221777.540039943,181786.247131391,99257.3790229135
"P00236",253216.673018665,72382.4897401498,141643.224888402,202685.76989371,174497.930852353,82875.3430171486,58928.3682610433,88752.6734074633,140698.888502541,164383.475440104,45481.018623249,132300.089858211,278711.280496385,349840.946716273,141740.31691738
"P00237",719998.767949247,145272.031755484,385287.48244797,329448.104095187,285384.461908742,129938.402712057,227570.821368315,340891.053295429,447736.186462254,424709.974561873,86004.4256872703,236640.789594157,792097.374626031,1219170.16816692,308468.156660086
"P00238",970945.163767675,521100.618985155,659176.252886307,1366336.30212647,948245.083524165,598963.149279686,239305.09236844,439188.190707968,1029191.35565431,892809.541277325,308592.34164702,1101361.61602417,1363944.20535444,1008191.63026846,1177880.21999843
"P00239",132572.427693682,47780.5287532567,85858.2394475601,101174.954845942,93914.3968350939,25545.7562484607,41247.9455132967,74160.3475558523,124570.301070388,112234.507219287,20686.363453757,65299.9540421511,178799.041417946,392322.629756347,88755.9325261496
"P00240",3605272.20408626,1074385.1608705,2342617.13629611,2613891.78559935,1898574.0247271,1430621.75426294,884479.322285109,1783613.9337759,2796074.30353328,2318746.8357446,779240.729292316,2768308.61149105,3945999.24752999,3251583.24667603,2595777.6732489
"P00241",376427.428850663,94731.9619362178,151763.559848176,227924.662497611,195948.885027271,71619.644320059,98971.6909185336,124404.177388604,215772.926991118,205629.341908571,66881.1656544256,142057.594006032,468135.864317611,589100.338349522,162223.070889258
"P00242",949758.65433861,308901.968501298,693091.61071825,790532.328671695,772607.404780074,371748.663006095,347221.005845917,402326.850156763,1084470.81724534,675463.614353359,282943.962869122,833134.554222413,1915381.06524905,1524952.33268131,696182.31850777
"P00243",131437.746208776,104312.118766895,349252.062229585,84805.4650365258,275151.272224677,99083.9952622022,46929.7358056414,176293.621777271,249575.352694086,105958.919886944,53826.3648811909,185045.373245644,193951.152804726,757103.883188053,204517.933782806
"P00244",1823232.6880482,549689.769329368,1178221.82255688,1336768.55262573,1121612.9441727,899796.848711597,462071.558397,932917.408011919,1491999.51922955,1035964.74852145,472695.847757937,1562915.10664961,2607501.81443271,2301952.91012203,1207337.10538664
"P00245",105366.572415921,43947.4132739915,127258.923519543,103605.305556302,108833.795928036,28964.5746576251,72720.4999745202,116143.407519198,149667.825281,98827.671271506,27487.5760499078,77774.7887694055,224875.778094326,574108.22535451,106965.377718221
"P00246",1385574.49109231,512887.082081734,1132898.04068021,1289952.65468402,961002.42755447,405905.861459734,413913.65222202,679244.598346218,1023431.10131717,1049155.57509955,239056.837876865,789206.125457061,2338218.72347309,2886069.43970647,832880.551432145
"P00247",704276.494331821,165873.324051422,355322.317971882,465956.321944783,384922.228420698,172950.694687486,198547.986837947,275469.406188524,399196.079615631,415361.391900818,105099.914800534,347080.891545742,768564.115206462,1059573.36683689,368715.10152956
"P00248",159173.860185549,271464.925270191,568033.724261171,120927.407749865,658185.672162937,315596.744150637,43030.8397125296,405742.81786625,700577.398395903,112900.544820514,197630.64230168,642025.984067936,181984.544228224,1724776.89156282,646713.842966393
"P00249",1029516.84664759,222630.751659014,523837.584591924,532399.708512782,610330.862080092,269239.179951267,204661.486885812,400014.87847126,604613.915743129,445792.454787529,134708.069516075,462288.65091608,1012336.60000297,1032999.14230702,472916.417683437
"P00250",469963.952383426,110183.038455931,216930.634556803,293016.614146804,306547.797541283,111236.189003755,169798.294765343,248752.68694382,363158.6914245,338284.902370992,68642.848082303,262246.12363209,568487.530647834,1298264.93074776,242935.487196291
"P00251",2148356.43820609,286186.876639759,964090.509204375,1001966.60312039,991968.903016769,257587.525163992,710599.361055064,588333.488402124,913839.160700629,1072271.59738903,213399.768661469,718402.89685648,3602293.03117947,3988341.52813276,621864.186322237
"P00252",807954.827350864,276043.851233691,655272.667881974,557181.440619554,604169.689860068,199557.619652113,365538.088859868,510663.816820846,522553.558770971,587416.39012252,173169.55384728,490901.991173989,1583830.12688166,2024362.54335545,591040.608642346
"P00253",633944.185110611,182549.938743556,447313.799187378,285264.214643638,360904.252024837,172488.409133076,203819.235881149,271929.903190732,443344.501783397,315953.884258071,97526.870585457,403144.068974285,877164.660488247,1342542.91609051,424272.009930965
"P00254",1749091.76737459,479356.615524907,1024704.60548458,1516033.68787875,1075993.94752044,602577.100688287,369277.162419157,807740.522401196,1159030.41393576,1073229.01887387,363886.104015946,1331943.44824873,1775140.57402431,1557189.14896408,1135615.812311
"P00255",243953.965609886,87734.7695767325,192295.31083097,273657.12569733,214022.614920031,77847.2637460783,124712.890832765,175071.778715231,220401.602540178,234782.365499979,58629.9260138773,156662.351398036,544168.878246255,765560.849120649,191855.023826121
"P00256",373849.525273054,157130.834755799,301996.964174851,381701.059385574,275057.070116141,262261.207123281,85589.5279626992,153132.47593827,402260.690667163,285139.417337802,87674.7408939078,263677.840704143,513572.977699174,423341.082982046,324281.422567658
"P00257",1224241.83632369,529252.090861125,1049311.2283265,1177798.85102951,996689.047648716,640041.794752769,422280.01345861,534759.835375704,1067665.62029868,987542.299637339,291888.574555027,1201730.35263815,1668249.3383507,1930222.07805733,990811.502501666
"P00258",682946.655499893,192135.092942567,441205.08835401,526684.853535432,482139.714487018,242051.62349347,211592.406839937,291288.0957589,576135.804355613,431409.481679264,142259.003638762,400428.604162906,981095.941738336,1201965.40558605,526919.88892901
"P00259",313236.694046154,97351.4115877239,268406.883270358,241614.08022766,299631.740732562,98782.0784470131,142709.479723755,185275.718543505,222588.535524666,256253.534983504,64747.0168369829,182871.861730816,612785.368802995,957647.779892183,197936.573609122
"P00260",2115632.64965403,558572.034716425,1028644.48386358,1856931.79985676,1638573.5443424,708884.606836744,450436.129470097,904543.867385148,1860177.92230253,1163271.71778835,496102.78803693,1629333.78803896,2471527.90776955,2038166.09078912,1361476.88411633
"P00261",453262.240033313,139890.033259922,245003.934565561,338514.4764781,391410.35734817,147605.871990536,172942.985684665,223287.259554097,389997.091411705,339569.334163368,111849.484296728,334997.047674387,809435.089347783,971219.369929421,299827.263798111
"P00262",104639.518528309,17911.8920391205,56991.4983516107,40306.2232009428,61478.1079640427,12242.387572183,64002.8843016021,52267.7967332913,48314.3176754683,56960.8448140233,11627.5886341631,32199.7242556091,166758.904894052,419385.585324344,25026.2308544551
"P00263",1320830.49035867,345075.269231658,631160.692598095,1134314.92063813,855845.680616312,439053.783780986,249634.343318481,562164.737671867,1338519.76060088,776883.623196441,246466.474252684,740186.252712626,1681001.15908243,1223647.86615034,834302.425545194
"P00264",1616777.92185538,605515.794827443,1346795.21205567,1622052.63513474,1098357.81863375,525797.84345925,480719.100665662,715264.899921758,1323092.78297943,1101509.21016315,339560.269807149,1208612.91583465,1967892.44421807,2521030.90591109,1001634.67572593
"P00265",222156.533467033,88759.9916212781,153155.731230888,157794.998157667,203772.952611161,58157.8167564895,81005.2301384757,156978.687870343,250299.535733538,195040.065403379,43081.0496568004,129510.145855935,406406.500903322,721535.586737698,169504.039297
"P00266",99990.908385307,22771.3611311061,68166.2481943871,66150.9531139489,67773.9916576411,15941.1844039258,58490.9685688208,52440.6537269838,73651.5830036531,81544.6510164154,15182.1093526408,54967.8354401929,160472.325689622,465490.946667804,43825.0292540614
"P00267",1069402.78336849,398496.896681621,756376.898844302,904202.672120559,789280.826600302,526849.048032501,280758.56892283,489015.950012864,959500.207271771,737425.469059408,190806.786453072,852919.22480174,1113012.40681573,1523291.45136993,677759.247920414
"P00268",1292647.16417002,324091.57181754,886771.641312731,847248.867615067,1244487.68479759,361648.224777042,519420.285661173,626780.254742294,1126909.46768035,1278269.47823638,198151.698443778,660468.815857503,1730492.87180702,3403214.91237937,795365.727605203
"P00269",247504.357919406,56967.4813512683,128031.121155408,108519.50678327,130104.649519084,39872.059564027,88332.3897542985,125837.760189117,144549.999897144,141290.266357074,34205.940148957,82577.353309627,293228.489986173,619223.411202042,82640.6550802283
"P00270",529377.980741909,180084.182978387,368472.407252514,395787.623474883,357952.03944518,159355.63471114,150446.022476713,271675.486541016,354705.027217589,352222.781718986,116097.264300175,398554.158117664,755355.319875241,1107411.7039496,360616.398626809
"P00271",1009081.45467942,485901.872452156,754277.386647491,1461134.55868635,740234.428087157,704187.659454474,258454.334514515,362255.413975337,860040.323186362,668382.28516467,311400.075541947,990329.559597775,1149239.45997982,1076536.01912792,1277991.6768537
"P00272",175883.618998386,36489.5228909175,103187.976695425,110166.403800477,127750.051051521,39803.2422057177,54846.4291777838,75463.6545266111,109891.303664069,104596.675186299,32135.5464597806,81492.921600148,213689.686632214,344607.146677785,98697.4484676171
"P00273",221521.417853471,122389.547015404,189215.206277261,219933.515193258,177136.427697033,117175.278604049,68606.7296248148,117748.733757626,234601.222994682,191229.865303842,56653.3656366749,216218.160933761,416592.317876571,568908.897425866,193427.185652381
"P00274",2609574.06383074,995987.489545588,2133634.33949696,3337471.32708773,2852752.58638357,1788059.40424871,608416.101933056,797239.457245396,3632725.95730025,2293629.02318152,609247.581729927,3280331.18945325,3207065.3814008,2557208.58420844,2586581.35117265
"P00275",1438661.08179618,482442.266014406,1079804.61984222,1278565.95893708,965425.796270406,646066.489883065,450506.698882382,500218.760180278,1289349.87082438,1073003.32324092,291216.016296185,826634.459589551,1899557.04563954,2096644.25503168,934890.378762924
"P00276",119408.109856593,29420.5346980235,84433.8910448471,86692.3164617387,62684.9599127986,58672.8110831132,35124.6038999679,62852.1408924041,94525.3411273541,85309.2644058287,25690.2242179185,89240.3590932146,130296.941926259,177120.938294563,66303.6755256656
"P00277",168808.494747962,48235.3209757583,122755.297921596,154987.336807803,149509.79374798,40474.8455645487,114775.615821525,141695.463460148,151113.54489686,165875.596024262,27257.633056333,76089.8223657305,339366.578317222,814077.14735619,120143.284846589
"P00278",588773.311530026,225198.663266543,209638.816226239,507461.622461715,411071.832731682,185405.343219127,231252.250165873,262890.163380411,335574.323055657,438450.267613752,93631.2707286051,388030.579320958,804512.780295092,1385136.98662208,368256.779722778
"P00279",424907.307271971,207071.443638734,272638.649338458,345611.393811602,368663.168236229,273418.563440532,79178.8606316069,137811.260384296,449925.301367921,225073.424070153,97419.0826352499,385014.514955771,562127.20610332,570295.955552009,380424.253007104
"P00280",1114341.96421945,189793.969118274,704254.531847854,536633.440656725,740790.247330831,289139.874414562,302393.94718923,433253.859238083,561220.869515236,395087.754540615,116943.035164225,801308.689479002,1093385.40403696,1488135.31194968,591422.651885009
"P00281",595646.460955973,276640.180885909,406435.607953588,594830.399393042,552095.979642871,301874.076959404,231020.469690372,304017.940347977,473058.318784658,514646.613577174,148205.108987914,558094.416491228,785814.808492634,1065565.39177796,608446.010421046
"P00282",213918.768568005,63229.4947654684,147351.066716131,122488.931142949,166441.905711952,55010.1710809273,79214.5887972735,82672.2630349088,129596.75300551,120741.978721216,35350.0174338842,109075.453781176,302103.70213211,471840.052621749,108972.432635076
"P00283",196755.116708444,69910.5912264767,169788.547673062,150416.994771788,143583.095803969,56771.6865519149,106898.609857846,98344.2845677988,154507.187892795,146703.049859988,41296.4890678523,159715.136507269,370043.733170132,512580.161675833,125836.892162842
"P00284",1144195.21961047,316491.347049034,572017.844917946,926859.226806845,659186.311875819,512712.886291111,253519.495365183,361837.451276631,726727.014461997,439381.567890944,171230.723349106,770310.228813608,874078.097876313,823549.468769027,723765.019940498
"P00285",95340.2499062501,33459.3724986395,71706.197394284,61963.6995694136,63328.7032251229,20637.3690413557,31013.1186195278,39330.5229098987,74715.4585815479,64084.0700592864,16865.6483446579,66405.1185827247,148812.700446295,152258.395527267,53134.7357929726
"P00286",9276787.18814987,4399858.12163824,5370974.78615505,8188784.44378669,6450442.10297121,4768749.50705941,1917428.05142578,2973996.57757056,7854930.37670121,5929903.95978019,1325120.48531548,5692386.18298893,10481653.5985265,7983121.46488522,6835106.75797603
"P00287",2705772.00067262,880504.092626081,1767395.49964661,1613347.22998618,1567261.93371422,1091725.71659144,815669.956993494,909593.568216782,1777547.68542802,1637720.32298031,504703.039964803,1709854.17456275,3062439.0592852,4117559.12022704,1650463.15615082
"P00288",653173.762444896,262729.207018082,495787.345427479,502128.900333208,335606.469215794,165114.562990926,204413.859051694,428032.506905093,487810.809165582,434237.71228727,115489.773836743,427517.748850225,986809.250229667,798512.883466188,433636.712665765
"P00289",639130.790612395,225676.561671393,434407.75862531,547365.094244312,601704.947083238,258318.707136551,222543.906633648,322100.066027488,515978.598728357,472419.595539683,98231.0423625433,319282.731843642,872478.996878615,1696708.69474831,420421.230143292
"P00290",85240.1705762116,22732.2339734022,55705.5758341891,62675.3590772905,59811.9833040189,21680.7040187993,28187.0125572513,53457.6861953833,52466.2049713794,71644.2344630465,11378.4781980712,41076.6784230929,127575.965697564,278396.901666081,43331.3479564794
"P00291",807115.729209368,219379.012033132,578620.148996672,597052.182802933,707739.474767714,295346.13605115,287190.653511055,449189.97844139,584920.660953442,680754.338710673,130866.991892189,725568.152278729,1005439.6092041,1771732.69399516,392225.58327502
"P00292",817834.369341578,240507.506840592,568421.828999061,843996.11174312,692495.248500989,461738.273016251,276042.085813657,348089.459114847,619951.416392981,727010.676779075,145276.335619693,696773.871790697,895369.036400692,1177763.16605726,595071.81298653
"P00293",126681.16133213,26967.6712079594,76764.3085443721,60348.1862521419,88903.9128347019,42656.8338420214,50802.2258521027,65646.1743475694,69045.1440811993,109401.346185217,20680.3225975682,55195.0950513365,235168.289204251,351431.004648114,59786.1607067855
"P00294",3826617.02821614,1162295.98251024,2233079.85286291,3089390.34921346,2092511.28786467,1955085.58334002,741269.929804036,1071194.58309705,2411985.66220104,2098882.79162687,598993.286807359,2798411.07761125,3932886.42341204,3133738.60733633,2716349.40472834
"P00295",5179764.23444313,1335495.21620475,2878749.84972097,3834756.11627502,3261115.23116883,1761310.47182981,1743629.98475994,2784121.96286377,3415534.45981915,3259805.6048694,871693.727813632,2639053.7039799,6577498.5847691,6204383.82200748,2641425.98870476
"P00296",608735.640689173,155022.415991167,362062.842396664,400662.570063,400051.388560529,125761.376522777,163498.858064682,216614.057687565,372812.298088577,361163.404555048,103624.691687029,300097.448073165,787577.608583159,1035036.2700518,333797.347751106
"P00297",1847677.18288581,558919.522177449,1014044.06854125,1858930.7649716,936863.683863769,629661.917892933,420725.440706743,693214.439139118,1169805.23398348,1015350.33563603,359717.953395032,1041310.5740715,1838348.78162299,1670039.21033536,1216837.88279403
"P00298",3386150.52785312,801048.035981728,1909123.87129429,1961643.7482576,1805061.34561285,980966.935058639,1672237.11361321,1640514.06897274,2661078.53115695,3429837.96523371,609440.120840863,2104136.94685541,6394467.08639719,8394880.10696988,1816027.19025294
"P00299",650197.318405393,215900.676462852,582048.048324577,529694.17478776,482036.084037861,313657.389910711,221860.145087422,317109.706061432,590988.11857196,345951.159686515,112410.366833534,565166.961059754,1330331.29455232,1236755.86865615,551594.695393885
"P00300",1180064.90031165,295435.800670148,904191.869976387,1067029.34640002,952425.871334152,482853.029487486,247783.90500383,459641.006908561,1206954.07843338,1147409.48002245,275334.931261455,940670.727277587,1438148.70119627,1388655.88093798,937570.070919404
"P00301",6603889.46185191,1557883.39087729,3269748.47087475,3262597.14550445,4652734.82057102,998135.866742367,2593588.49417156,3762178.59595908,3658381.2416155,6036738.60454116,1312384.17732358,2742686.29806107,10399965.9007629,22214668.1507299,2777711.07492445
"P00302",1038338.46691225,263609.951548082,647827.242777121,692810.303888865,747089.457312493,188069.355769586,388087.310868194,481722.557862941,512607.805174671,597317.755820646,147668.155571372,504126.582118075,1515778.66921477,2228256.48148233,507334.347345678
"P00303",1360023.82994984,343333.548627456,614267.07699895,970933.997896143,868976.318760656,385557.929492979,560659.539060292,785139.652472187,881374.87992554,696840.198926792,226770.828305448,842972.717914976,1908324.53837754,3618861.11704124,864947.234894029
"P00304",882142.40489391,213468.634046472,558252.206575696,794664.933331751,518614.354322484,331912.62579619,178576.290867268,344542.881591343,773780.269796117,641515.127282654,190064.982513006,646983.948249772,1041316.22784158,1380265.09941718,629600.025187033
"P00305",2145108.95254106,871100.096226748,1479668.63843318,2569641.36989719,1542243.3422139,1104587.97232182,525472.446690917,927176.668149946,2463649.63323456,1370303.67270191,490860.263270939,1961977.79733544,2976397.67548043,2384193.64252361,1840329.76081985
"P00306",1371149.9756656,494259.348536117,796337.56563337,860470.308278292,787395.879001332,622382.069612467,275768.081125333,544735.36237438,1061349.88875555,1045116.05940795,307088.014887569,938413.532444006,1539607.73881729,1116282.46659243,720144.08765305
"P00307",557836.368210699,238563.721061594,336099.542273227,502282.275647818,404178.744572019,251844.552694391,152732.445841028,269634.969926463,533402.129032333,363641.98181881,117976.974947106,499997.509839071,799718.397972738,717189.076991458,462957.699149029
"P00308",441905.863889213,110461.489915549,256628.424460881,262240.99607534,224643.381689374,135539.710147472,127018.431247299,166601.132751759,264067.457930744,235750.314067863,87803.837190488,199008.881646928,460473.292082881,615364.372449719,227947.536052977
"P00309",271337.358217325,92252.9976495411,146191.141275699,220645.500513287,151515.810957852,101694.690391639,75616.3397046712,112347.188653166,177613.430424249,184330.570100912,53454.4706977798,200353.454872316,437635.725287158,470571.577413007,141746.168261034
"P00310",676654.243008795,165726.562340759,402509.240019814,567729.803848096,416460.254335537,143405.264065761,241143.996738255,271391.196591746,507217.140307849,479079.198664639,128999.778601321,333064.887913274,776342.235948298,1083282.55199156,361915.94704918
"P00311",826119.210034265,291561.833588292,548618.083932608,644321.684853305,526760.732391435,383200.325435778,296751.325796992,408306.703818391,723503.834382221,815717.536668512,212357.23674528,568488.566720443,1134341.52532922,1250805.99352482,659672.812617458
"P00312",189771.77814847,59856.611303865,120675.24944787,128655.605168775,164874.657267055,47484.2733871772,99517.8640886774,126496.860258742,134485.178147749,156972.245043552,39151.3627504192,113201.92336207,312314.069185553,739987.887284852,127906.180119578
"P00313",5176313.56173969,1749807.31528575,2991895.39796147,6850328.714355,3133291.2590446,3585970.55964684,913916.007574811,1990864.42415816,4620359.87529049,3147158.87824416,1150709.01397251,4488121.18042964,5319418.55285154,2912604.86454366,5070738.13959534
"P00314",254182.336521595,70927.6893972139,188169.439909401,206566.17831745,250484.917270338,100821.752162004,125550.871279241,149709.790779909,171078.901724087,231827.425733403,58928.9913567703,157768.677060201,474287.90919667,660417.224380045,190153.219622991
"P00315",304728.489162905,97779.2584400844,205466.655955875,235522.234682708,206493.174163618,79722.6503566927,132659.141299018,165281.540930127,230528.214032374,237886.982470014,62863.95576622,179199.568770277,365737.381616863,900466.652470602,144896.625008597
"P00316",348077.93171205,96793.9107806021,200161.106154941,312167.578135354,269641.47880175,124141.486963212,102737.089211067,160302.066105717,320381.069257759,238302.949420197,62209.612147334,237011.42933545,461096.975394428,439651.062380879,263237.69288401
"P00317",1036815.86067932,326062.672944141,808379.549093383,992364.767116047,705159.760635897,440887.455371363,234071.309524745,402691.392435707,1324182.40353335,650834.514766118,186144.105176699,730817.340048161,1309266.08318744,1170753.20164385,591729.965545688
"P00318",2574656.86649297,653169.710526614,2250449.75950057,2302683.02068937,1258340.59022639,1030480.28505338,567921.878938318,1121846.23055655,2139135.87685056,1547930.56755775,665184.43862567,1705707.6399141,2992708.03644217,3663866.16984758,2167284.48970441
"P00319",94584.3712849471,27305.9823682954,50208.480725285,53966.3540186322,54244.647173839,23344.0896816113,39886.7834314133,56178.3016269355,74591.7776239174,66717.2617105622,12719.9487389873,46278.5484471061,133139.260955865,194902.32047581,63801.7917993043
"P00320",87715.1555107782,23243.9164089568,49553.2138692939,56577.1199640427,54031.2383220275,16523.5521046306,61808.1866968099,59373.048277591,58176.6017754359,53305.1362644769,14525.0120644207,43278.8077334822,147228.286483229,367007.815138854,49710.3247817813
"P00321",874933.24965435,207441.393964865,428177.286299643,678679.943850364,525789.883388618,220522.531702419,252501.916019029,375779.641178962,752714.105512945,590468.728910446,149770.995212759,419835.998496793,976783.00525016,1596934.30898796,514925.212296299
"P00322",1260278.02587096,460431.744878541,1020647.06900842,1103615.00636283,936935.074813794,584496.548102287,388863.33309199,610879.680371098,1169772.14993972,1018527.09253741,311361.740883846,1093334.7175596,1839223.78977747,2196826.45134383,994633.323356258
